Country,ISO3,Year,consumption_gdp
Jordan,JOR,2020,79.8136555479321
Jordan,JOR,2021,78.8555453752195
Jordan,JOR,2022,
Kazakhstan,KAZ,2000,61.8865729379912
Kazakhstan,KAZ,2001,57.9121971364428
Kazakhstan,KAZ,2002,54.5990094530399
Kazakhstan,KAZ,2003,54.4848971762706
Kazakhstan,KAZ,2004,53.5330171236457
Kazakhstan,KAZ,2005,49.8569709996985
Kazakhstan,KAZ,2006,45.7216849411506
Kazakhstan,KAZ,2007,45.1014109642536
Kazakhstan,KAZ,2008,44.4118126502499
Kazakhstan,KAZ,2009,47.5228195881535
Kazakhstan,KAZ,2010,45.3804821586397
Kazakhstan,KAZ,2011,42.1912164615265
Kazakhstan,KAZ,2012,44.9367510818071
Kazakhstan,KAZ,2013,49.8965892829137
Kazakhstan,KAZ,2014,48.4825043206591
Kazakhstan,KAZ,2015,53.7178141400066
Kazakhstan,KAZ,2016,54.5443168838745
Kazakhstan,KAZ,2017,52.5879857667772
Kazakhstan,KAZ,2018,52.0980613500686
Kazakhstan,KAZ,2019,52.2788563150279
Kazakhstan,KAZ,2020,53.0038950341928
Kazakhstan,KAZ,2021,51.6402830303106
Kazakhstan,KAZ,2022,49.4371300696689
Kenya,KEN,2000,78.2907715662389
Kenya,KEN,2001,79.5703087860375
Kenya,KEN,2002,78.6144703406405
Kenya,KEN,2003,77.1191801954793
Kenya,KEN,2004,75.5246878945704
Kenya,KEN,2005,75.3993890056332
Kenya,KEN,2006,76.2317800735859
Kenya,KEN,2007,74.85466095924
Kenya,KEN,2008,75.3275598073021
Kenya,KEN,2009,72.4743424342465
Kenya,KEN,2010,72.8257213776847
Kenya,KEN,2011,76.0117563568555
Kenya,KEN,2012,75.2015180428055
Kenya,KEN,2013,76.496962526467
Kenya,KEN,2014,76.068046506941
Kenya,KEN,2015,75.5167578715507
Kenya,KEN,2016,76.4073215606295
Kenya,KEN,2017,77.9129619789056
Kenya,KEN,2018,77.1029078594526
Kenya,KEN,2019,77.4226642300581
Kenya,KEN,2020,76.4393699714514
Kenya,KEN,2021,75.4961521200047
Kenya,KEN,2022,75.6878425683943
Kyrgyzstan,KGZ,2000,65.6840739499707
Kyrgyzstan,KGZ,2001,64.8224569761855
Kyrgyzstan,KGZ,2002,67.5319902131973
Kyrgyzstan,KGZ,2003,77.9097523112765
Kyrgyzstan,KGZ,2004,76.0428910437336
Kyrgyzstan,KGZ,2005,84.5448725064223
Kyrgyzstan,KGZ,2006,95.125663334215
Kyrgyzstan,KGZ,2007,87.4864074611498
Kyrgyzstan,KGZ,2008,92.5385083080707
Kyrgyzstan,KGZ,2009,78.2805535552862
Kyrgyzstan,KGZ,2010,84.595540304389
Kyrgyzstan,KGZ,2011,83.402479325261
Kyrgyzstan,KGZ,2012,95.8006102335385
Kyrgyzstan,KGZ,2013,97.1806511100078
Kyrgyzstan,KGZ,2014,95.9988170524141
Kyrgyzstan,KGZ,2015,90.5465732721874
Kyrgyzstan,KGZ,2016,82.7994261135949
Kyrgyzstan,KGZ,2017,82.0794995887653
Kyrgyzstan,KGZ,2018,82.4857706271462
Kyrgyzstan,KGZ,2019,77.3300987499985
Kyrgyzstan,KGZ,2020,76.4257484032074
Kyrgyzstan,KGZ,2021,85.5235897663205
Kyrgyzstan,KGZ,2022,88.6858181762607
Lebanon,LBN,2000,84.0814757878555
Lebanon,LBN,2001,83.9365580486338
Lebanon,LBN,2002,82.9939041285675
Lebanon,LBN,2003,84.822460776218
Lebanon,LBN,2004,83.3458292576255
Lebanon,LBN,2005,82.0084219618835
Lebanon,LBN,2006,84.8164487806282
Lebanon,LBN,2007,85.6780294070479
Lebanon,LBN,2008,88.1388711834483
Lebanon,LBN,2009,84.1765049782136
Lebanon,LBN,2010,87.8932779179159
Lebanon,LBN,2011,89.998577608781
Lebanon,LBN,2012,92.4701543279768
Lebanon,LBN,2013,92.3410533828914
Lebanon,LBN,2014,94.5916670435709
Lebanon,LBN,2015,90.8051834974673
Lebanon,LBN,2016,88.1445855533141
Lebanon,LBN,2017,89.6049096795191
Lebanon,LBN,2018,88.9243085838561
Lebanon,LBN,2019,93.6331403584653
Lebanon,LBN,2020,100.14669999945
Lebanon,LBN,2021,119.057743621409
Lebanon,LBN,2022,140.380223765282
Malaysia,MYS,2000,43.7543665702397
Malaysia,MYS,2001,46.1224292995329
Malaysia,MYS,2002,45.0102162504925
Malaysia,MYS,2003,44.5768430805528
Malaysia,MYS,2004,43.9978651950857
Malaysia,MYS,2005,44.1864828966588
Malaysia,MYS,2006,44.3349687659187
Malaysia,MYS,2007,45.1525535816274
Malaysia,MYS,2008,44.7062078137643
Malaysia,MYS,2009,48.8412121926277
Malaysia,MYS,2010,48.116586359951
Malaysia,MYS,2011,47.9679906288354
Malaysia,MYS,2012,49.6511718894787
Malaysia,MYS,2013,51.8104993648232
Malaysia,MYS,2014,52.4188774297456
Malaysia,MYS,2015,53.9618666603771
Malaysia,MYS,2016,54.7877093226036
Malaysia,MYS,2017,55.3917530338003
Malaysia,MYS,2018,57.4258164063263
Malaysia,MYS,2019,59.7716877634033
Malaysia,MYS,2020,61.0120288602963
Malaysia,MYS,2021,58.007293869846
Malaysia,MYS,2022,57.6072240643696
Mexico,MEX,2000,69.0091905289985
Mexico,MEX,2001,69.2570043957115
Mexico,MEX,2002,69.6592148327527
Mexico,MEX,2003,70.6495135759517
Mexico,MEX,2004,69.9188767583994
Mexico,MEX,2005,71.2267435930797
Mexico,MEX,2006,69.2742809816988
Mexico,MEX,2007,69.3229644300248
Mexico,MEX,2008,70.2746990860336
Mexico,MEX,2009,69.1192267646515
Mexico,MEX,2010,70.5429455639037
Mexico,MEX,2011,69.9024965736527
Mexico,MEX,2012,69.1629981341374
Mexico,MEX,2013,70.747879453347
Mexico,MEX,2014,70.8084071936587
Mexico,MEX,2015,69.1492541424672
Mexico,MEX,2016,68.9305753669231
Mexico,MEX,2017,68.2357005073906
Mexico,MEX,2018,67.3910109537733
Mexico,MEX,2019,67.1220772790356
Mexico,MEX,2020,66.1547340770217
Mexico,MEX,2021,68.3257391693618
Mexico,MEX,2022,70.7782967636147
Mongolia,MNG,2000,75.1075301992177
Mongolia,MNG,2001,75.5774143270245
Mongolia,MNG,2002,77.1211615008672
Mongolia,MNG,2003,70.1241021296151
Mongolia,MNG,2004,64.8458393119227
Mongolia,MNG,2005,55.1752340722265
Mongolia,MNG,2006,47.3028319014931
Mongolia,MNG,2007,48.6070690695543
Mongolia,MNG,2008,56.2331423078547
Mongolia,MNG,2009,58.4354052205536
Mongolia,MNG,2010,55.216986503192
Mongolia,MNG,2011,51.4861554292071
Mongolia,MNG,2012,53.0188312402492
Mongolia,MNG,2013,55.7986805428789
Mongolia,MNG,2014,56.6320068417376
Mongolia,MNG,2015,61.8999405343556
Mongolia,MNG,2016,60.7261438290346
Mongolia,MNG,2017,56.2644226888335
