Country,ISO3,Year,Dependency_Ratio
Ethiopia,ETH,2018,79.5179195732953
Ethiopia,ETH,2019,78.2497670217938
Ethiopia,ETH,2020,77.0532101922889
Ethiopia,ETH,2021,75.927506543307
Ethiopia,ETH,2022,74.9175852176508
Ethiopia,ETH,2023,74.0248657156642
Ethiopia,ETH,2024,73.2798951679715
Ethiopia,ETH,2025,72.6383993060212
Ethiopia,ETH,2026,72.05400275235
Ethiopia,ETH,2027,71.5508638342102
Ethiopia,ETH,2028,71.1361277800374
Ethiopia,ETH,2029,70.7262945707812
Ethiopia,ETH,2030,70.2410866767624
Ethiopia,ETH,2031,69.662362602526
Ethiopia,ETH,2032,68.9951335935146
Ethiopia,ETH,2033,68.2312853824027
Ethiopia,ETH,2034,67.3428758747544
Ethiopia,ETH,2035,66.3648052507503
Ethiopia,ETH,2036,65.3607511991372
Ethiopia,ETH,2037,64.3594641127581
Ethiopia,ETH,2038,63.3739708092494
Ethiopia,ETH,2039,62.4069242640649
Ethiopia,ETH,2040,61.4856751537659
Ethiopia,ETH,2041,60.6283203840549
Ethiopia,ETH,2042,59.8205732952981
Ethiopia,ETH,2043,59.0579063361994
Ethiopia,ETH,2044,58.3376761321508
Ethiopia,ETH,2045,57.6590163658803
Ethiopia,ETH,2046,57.0144309114099
Ethiopia,ETH,2047,56.393572026993
Ethiopia,ETH,2048,55.801789166206
Ethiopia,ETH,2049,55.2609049304676
Ethiopia,ETH,2050,54.7844849677914
France,FRA,2000,53.6919719635663
France,FRA,2001,53.8263544157586
France,FRA,2002,53.8550812022264
France,FRA,2003,53.7782755676556
France,FRA,2004,53.7305396887409
France,FRA,2005,53.7054007961336
France,FRA,2006,53.6094922053175
France,FRA,2007,53.6180524618417
France,FRA,2008,53.8644415960553
France,FRA,2009,54.2446958152522
France,FRA,2010,54.591548563142
France,FRA,2011,55.2764053631323
France,FRA,2012,56.2934642722207
France,FRA,2013,57.1679224697779
France,FRA,2014,58.0626367615727
France,FRA,2015,58.9738911271226
France,FRA,2016,59.6623497311224
France,FRA,2017,60.2613491660523
France,FRA,2018,60.8249786780729
France,FRA,2019,61.339333625721
France,FRA,2020,61.777215608517
France,FRA,2021,62.0639435685389
France,FRA,2022,62.3607658045045
France,FRA,2023,62.6913590841452
France,FRA,2024,63.0036568919136
France,FRA,2025,63.3100069096162
France,FRA,2026,63.6253980288785
France,FRA,2027,63.9589963577661
France,FRA,2028,64.3566240497658
France,FRA,2029,64.8480088588129
France,FRA,2030,65.4246164618018
France,FRA,2031,65.8939751668224
France,FRA,2032,66.3512519587224
France,FRA,2033,66.9755018249413
France,FRA,2034,67.6433169681185
France,FRA,2035,68.4064382709225
France,FRA,2036,69.1601852579695
France,FRA,2037,69.8875688979554
France,FRA,2038,70.7315422500978
France,FRA,2039,71.5578482021452
France,FRA,2040,72.2015287556392
