Country,ISO3,Year,Dependency_Ratio,Health_Expenditure,Education_perGDP,RD_Expenditure,Contribution_revenue,GDP_percapita
Japan,JPN,2016,67.3227876016443,10.65891552,3.18618,3.10665988922119,,39375.4731620781
Japan,JPN,2017,68.3095186249903,10.65627098,3.18218,3.16635990142822,,38834.0529341227
Japan,JPN,2018,69.0229537254226,10.73988247,,3.21919989585876,,39751.1330982711
Japan,JPN,2019,69.4781102585107,10.96998405,,3.2182400226593,,40415.9567649547
Japan,JPN,2020,69.8915691054857,11.20903683,,3.2645800113678,,40040.7655055923
Kazakhstan,KAZ,2000,52.2757413139262,4.16032362,3.25662,0.18104000389576,,1180.0444563226
Kazakhstan,KAZ,2001,50.8892902127798,3.47098351,,0.220090001821518,,1422.27331810957
Kazakhstan,KAZ,2002,49.7152750119888,3.61481094,3.0297,0.255089998245239,,1573.55219932325
Kazakhstan,KAZ,2003,48.7928716446465,3.72334599,,0.25246000289917,,1958.02050246511
Kazakhstan,KAZ,2004,48.1439017104514,3.98307943,2.25591,0.248370006680489,,2722.47407755402
Kazakhstan,KAZ,2005,47.6883857087747,3.90173173,2.26353,0.283609986305237,,3577.35804001782
Kazakhstan,KAZ,2006,47.3570026780758,3.39824891,2.62678,0.242809996008873,,5030.13494711519
Kazakhstan,KAZ,2007,47.1117272482949,2.70314884,2.83139,0.208839997649193,,6449.43931096532
Kazakhstan,KAZ,2008,46.935658443208,3.02569818,2.58946,0.216539993882179,,8123.54705891736
Kazakhstan,KAZ,2009,46.7707877522094,3.47355556,3.06072,0.229240000247955,,6938.01175663001
Kazakhstan,KAZ,2010,46.7914967905944,2.73641348,,0.153410002589226,2.66735229267712,8793.07589980782
Kazakhstan,KAZ,2011,47.2918702077932,2.60236716,,0.153490006923676,2.27174130857528,11287.1464926039
Kazakhstan,KAZ,2012,48.2666123385578,3.03725958,,0.16525000333786,2.58664752690271,12018.7966527993
Kazakhstan,KAZ,2013,49.5309872731953,2.66286707,,0.171320006251335,2.69887752298367,13478.459627612
Kazakhstan,KAZ,2014,50.9797084009508,2.97468472,,0.167219996452332,2.86924541809459,12427.7094576939
Kazakhstan,KAZ,2015,52.5207605589946,3.04051137,2.78858,0.169510006904602,4.17876864617051,10196.1226255982
Kazakhstan,KAZ,2016,54.0318746567256,3.42235589,2.9781,0.141790002584457,3.9592644066909,7475.56688689424
Kazakhstan,KAZ,2017,55.4148033056512,3.05244446,2.75082,0.126670002937317,3.10454486816845,8943.08416791984
Kazakhstan,KAZ,2018,56.5235626212407,2.8178606,2.61595,0.116829998791218,3.25949336445695,9472.48527327758
Kazakhstan,KAZ,2019,57.4655912088719,2.78745699,,0.118409998714924,,9457.12614657136
Kazakhstan,KAZ,2020,58.3765163228774,3.75300956,,0.12601999938488,,8781.50797787648
Kenya,KEN,2007,85.6322010455064,5.12351847,,0.35521000623703,,840.201439476765
Kenya,KEN,2010,84.2201054386438,5.38849831,5.50822,0.692219972610474,,1091.51873101194
Kyrgyz Republic,KGZ,2000,68.2006776290059,4.41414976,3.50839,0.156369999051094,,279.621767006739
Kyrgyz Republic,KGZ,2001,66.4224942005393,4.27703238,3.85418,0.171890005469322,,308.411326685178
Kyrgyz Republic,KGZ,2002,64.629398596988,4.59219551,4.44546,0.198100000619888,,321.726775366804
Kyrgyz Republic,KGZ,2003,62.9832482972312,5.82382107,4.47542,0.222719997167587,,380.505828812441
Kyrgyz Republic,KGZ,2004,61.5008882259052,6.20281315,4.62244,0.199259996414185,,433.233915720699
Kyrgyz Republic,KGZ,2005,60.1019662934415,7.45010662,4.87384,0.198609992861748,,476.548239793618
Kyrgyz Republic,KGZ,2006,58.648586037128,8.3118391,5.54986,0.230140000581741,,543.113512472219
Kyrgyz Republic,KGZ,2007,57.0648841045437,6.93210649,6.467,0.234249994158745,,721.771646044636
Kyrgyz Republic,KGZ,2008,55.3380271036174,6.52511883,5.91319,0.190170004963875,,966.388569370494
Kyrgyz Republic,KGZ,2009,53.8306951096295,6.89873457,6.23268,0.159970000386238,,870.198894546917
Kyrgyz Republic,KGZ,2010,53.1417387548341,6.95027161,5.81883,0.155469998717308,,876.954476440354
Kyrgyz Republic,KGZ,2011,53.4057116432203,7.1072917,6.79062,0.15633000433445,,1117.40184423062
Kyrgyz Republic,KGZ,2012,54.4404735783782,8.50966358,7.38423,0.16609999537468,,1168.62244675446
Kyrgyz Republic,KGZ,2013,55.6741442388454,8.18745136,6.7802,0.149140000343323,,1269.66303464348
Kyrgyz Republic,KGZ,2014,56.9069819836574,7.35766459,5.5316,0.125359997153282,17.3525084260351,1264.52679529608
Kyrgyz Republic,KGZ,2015,58.150156918583,7.14930916,5.98551,0.119029998779297,17.4193427979539,1105.65202996955
Kyrgyz Republic,KGZ,2016,59.0639463884673,6.41248226,6.58615,0.111210003495216,18.515483436445,1103.27498361324
Kyrgyz Republic,KGZ,2017,59.488277666114,6.18586349,6.02619,0.107069998979568,17.9206059194295,1221.39056490366
Kyrgyz Republic,KGZ,2018,59.9520397978831,5.01030922,,0.101070001721382,18.1485143239419,1283.52040333083
Kyrgyz Republic,KGZ,2019,60.7277440086941,4.25461817,,0.0853499993681908,17.7777326771559,1421.99927504102
Kyrgyz Republic,KGZ,2020,61.3520516472714,4.94803715,,0.0835599973797798,19.5902695023184,1229.51775742135
"Korea, Rep.",KOR,2000,39.0262683255652,3.85544205,,2.12519001960754,13.3102365359308,12257.0206622345
"Korea, Rep.",KOR,2001,39.2824564341745,4.32142305,,2.2786500453949,14.8748050674982,11561.2071745115
"Korea, Rep.",KOR,2002,39.4441496233333,4.05226278,,2.20774006843567,15.1171990050645,13165.08362497
"Korea, Rep.",KOR,2003,39.5292757742813,4.63368225,,2.27722001075745,14.7246454661666,14672.8057539465
"Korea, Rep.",KOR,2004,39.525917627204,4.60466433,,2.44214010238647,15.8178003434316,16496.1316167114
"Korea, Rep.",KOR,2005,39.3635610064232,4.8394208,,2.52290010452271,16.1716971565198,19402.5026259549
"Korea, Rep.",KOR,2006,39.1149684167156,5.16117191,,2.71934008598328,16.1677120322664,21743.4774514254
"Korea, Rep.",KOR,2007,38.8293844819969,5.16154528,,2.87258005142212,14.0380403322037,24086.4104391677
"Korea, Rep.",KOR,2008,38.4354178916179,5.39977121,,2.9888699054718,15.8280526426572,21350.427979823
"Korea, Rep.",KOR,2009,38.033861912487,5.89820576,,3.14668989181519,16.3845125861116,19143.8516053025
"Korea, Rep.",KOR,2010,37.7039074846602,6.02606916,,3.3157799243927,16.1087131395224,23079.2601257735
"Korea, Rep.",KOR,2011,37.2547574179042,6.12371254,,3.59198999404907,16.0731519068186,25097.595426845
"Korea, Rep.",KOR,2012,36.7828795943106,6.17752457,,3.8503999710083,23.4781931342842,25459.1689000965
"Korea, Rep.",KOR,2013,36.5342930887925,6.31104422,,3.95124006271362,24.3929122982278,27179.5170146052
"Korea, Rep.",KOR,2014,36.4720410483292,6.50225973,,4.07785987854004,25.7853475953387,29252.9312377352
"Korea, Rep.",KOR,2015,36.4601267455493,6.72447348,,3.97819995880127,26.308947473203,28737.4391706499
"Korea, Rep.",KOR,2016,36.4600654674078,6.89293242,4.3331,3.9870400428772,25.9681961931965,29280.4403170048
"Korea, Rep.",KOR,2017,36.7793132181662,7.04771852,,4.29205989837646,25.7928170243109,31600.7358741365
"Korea, Rep.",KOR,2018,37.299629534955,7.46262026,,4.51632976531982,25.5134811374785,33447.1562836166
"Korea, Rep.",KOR,2019,37.8813882499402,8.1267519,,4.62702989578247,26.9756840009994,31902.4169048194
"Korea, Rep.",KOR,2020,38.7671326866112,8.3554945,,4.79571008682251,28.7031530236454,31721.2989141857
Morocco,MAR,2001,61.0419023199319,3.81601191,,0.546299993991852,,1506.24523925781
Morocco,MAR,2002,59.8593006334937,4.06117535,,0.471789985895157,,1596.02062988281
Morocco,MAR,2003,58.6812379549291,4.08037519,,0.565880000591278,,1941.87255859375
Morocco,MAR,2006,55.0741290970672,4.56586647,,0.549870014190674,,2438.12646484375
Morocco,MAR,2010,52.3621899992693,5.41861057,,0.660359978675842,,3067.9853515625
Mexico,MEX,2000,64.8374720830817,4.24436522,3.99244,0.292050004005432,10.4772889886753,7524.02713693678
Mexico,MEX,2001,63.9944301026757,4.58201361,4.24104,0.308149993419647,,7952.7647961764
Mexico,MEX,2002,63.180962136667,4.83042812,4.45496,0.337449997663498,,7983.03398483743
Mexico,MEX,2003,62.3840117468188,5.53978777,5.07258,0.374540001153946,,7434.0746485155
Mexico,MEX,2004,61.5479972392309,5.6835022,4.72671,0.370530009269714,,7849.66759649565
Mexico,MEX,2005,60.6344937397539,5.58110142,4.84569,0.38102999329567,,8671.75891885163
Mexico,MEX,2006,59.6732082754969,5.40647888,4.69992,0.352979987859726,,9512.63575346699
Mexico,MEX,2007,58.6888542638054,5.50668049,4.69051,0.380389988422394,,10134.3327138119
Mexico,MEX,2008,57.7194070815135,5.44587374,4.82007,0.424160003662109,9.50293778263388,10523.7685403244
Mexico,MEX,2009,56.7944957043171,5.84786463,5.18794,0.457480013370514,11.6928078546119,8423.56933214711
Mexico,MEX,2010,55.9321268636884,5.4897337,5.15922,0.473529994487762,11.4798185396187,9728.80078377082
Mexico,MEX,2011,55.1794320737435,5.30093002,5.10565,0.452679991722107,10.9022305240312,10664.4944032313
Mexico,MEX,2012,54.5632141554873,5.42140484,5.1031,0.402839988470078,11.137767030928,10744.1335242686
Mexico,MEX,2013,54.027488950612,5.5773263,4.69605,0.408060014247894,11.4997045729171,11216.8008505428
Mexico,MEX,2014,53.513139465276,5.35336781,5.26062,0.419620007276535,11.7900790205448,11391.3773497683
Mexico,MEX,2015,52.97209888579,5.52738619,5.23524,0.414770007133484,11.5545785227158,10021.2386118827
Mexico,MEX,2016,52.3968518760979,5.38499022,4.90949,0.376010000705719,10.914139643601,9097.92397674769
Mexico,MEX,2017,51.8182577831981,5.3117938,4.52282,0.319550007581711,10.6660796469127,9649.27816772402
Mexico,MEX,2018,51.2690018964587,5.23821402,,0.29815998673439,11.4833581998621,10084.7937562021
Mexico,MEX,2019,50.7872946012451,5.29685831,,0.276059985160828,11.8657674319308,10369.5553568761
Mexico,MEX,2020,50.3089773441429,6.0537405,,0.291909992694855,12.8240088044148,8841.27075003163
Myanmar,MMR,2000,58.2217539588067,2.12591195,,0.113059997558594,,196.619580625284
Myanmar,MMR,2001,57.2352074018873,2.28925514,,0.0714399963617325,,141.525660705722
Myanmar,MMR,2002,56.4403415340296,2.74706364,,0.162159994244576,,146.598390364449
Myanmar,MMR,2017,46.756347215943,5.08065701,2.08768,0.0321800000965595,0.555273134908011,1272.82241830603
